data,produto,categoria,preco,quantidade,valor_total
2024-01-15,Notebook Dell,Eletrônicos,2500.00,2,5000.00
2024-01-20,Mouse Logitech,Periféricos,150.00,5,750.00
2024-02-10,Teclado Mecânico,Periféricos,300.00,3,900.00
2024-02-15,Monitor Samsung,Eletrônicos,800.00,4,3200.00
2024-03-05,Notebook Dell,Eletrônicos,2500.00,1,2500.00
2024-03-12,Headset Gamer,Periféricos,200.00,6,1200.00
2024-04-01,Webcam HD,Periféricos,180.00,3,540.00
2024-04-15,Notebook Asus,Eletrônicos,2200.00,2,4400.00
2024-05-10,Mouse Logitech,Periféricos,150.00,4,600.00
2024-05-22,SSD 1TB,Armazenamento,350.00,5,1750.00
